N	4gram	Medvedev_F_3	Psycholo
1	одним и тем же	2	3
2	о котором мы говорили	1	2
3	так же обстоит дело	1	2
4	одного и того же	1	2
5	в зависимости от того	1	2
6	одной и той же	1	2
7	же обстоит дело и	1	2
8	в каждый данный момент	1	1
9	из ложного предположения что	1	1
10	в том или ином	1	1
11	с этой точки зрения	1	1
12	мы уже указывали на	1	1
13	обстоит дело и в	1	1
14	которые сами по себе	1	1
15	в собственном смысле слова	1	1
16	что они находятся в	1	1
17	один и тот же	1	1
18	дело в том что	1	1
19	исходили из ложного предположения	1	1
