N	3gram	Ircho_Kome_1	slovoVRo
1	и т п	5	33
2	в отличие от	1	12
3	в значительной степени	1	6
4	с одной стороны	3	5
5	в большинстве случаев	1	5
6	то же время	4	4
7	в том что	9	4
8	по отношению к	3	4
9	в то же	4	4
10	в отношении к	1	4
11	в зависимости от	1	4
12	в этом отношении	3	3
13	в новое время	2	2
14	во всяком случае	2	2
15	для того чтобы	1	2
16	до сих пор	2	2
17	и т д	4	2
18	в чем не	1	2
19	как мы уже	1	2
20	не только в	1	2
21	более или менее	1	2
22	т п в	1	2
23	ни в чем	1	2
24	но прежде всего	1	2
25	в чем же	1	1
26	с самого начала	1	1
27	на протяжении всего	2	1
28	о том что	3	1
29	большей или меньшей	1	1
30	и даже не	1	1
31	том что в	1	1
32	может быть также	1	1
33	в том числе	1	1
34	и все остальные	1	1
35	как и в	2	1
36	если они не	1	1
37	до конца и	1	1
38	на этом фоне	1	1
39	хотя и не	1	1
40	с другой стороны	5	1
41	время от времени	1	1
42	в другом случае	1	1
43	в той же	1	1
44	что он не	1	1
45	может и не	1	1
46	как один из	1	1
47	как мы видели	1	1
48	со всех сторон	1	1
49	на то что	2	1
50	таким образом в	2	1
51	речь идет о	3	1
52	для этой цели	1	1
53	в применении к	1	1
54	и в дальнейшем	1	1
55	к сожалению не	1	1
56	до конца в	1	1
57	о которых мы	1	1
58	и не только	1	1
59	но и в	2	1
60	том что он	4	1
61	поэтому и в	1	1
62	и особенно в	1	1
63	тем не менее	1	1
64	и его современников	1	1
