N	3gram	Medvedev_U_1	Myshleni
1	в том что	2	11
2	друг с другом	1	7
3	можно сказать что	1	5
4	в этом отношении	2	5
5	то же самое	2	4
6	с одной стороны	1	3
7	в этом случае	1	3
8	до сих пор	2	3
9	не может быть	4	3
10	и в частности	2	2
11	с другой стороны	3	2
12	в той же	1	2
13	и то что	2	2
14	в самом деле	2	2
15	же самое что	1	2
16	само по себе	1	2
17	в этом смысле	2	1
18	сам по себе	1	1
19	в этой области	3	1
20	они относятся к	1	1
21	в то же	3	1
22	больше чем то	1	1
23	в первую очередь	1	1
24	тех или иных	2	1
25	связанные с проблемой	1	1
26	имеем в виду	1	1
27	по нашему мнению	3	1
28	нас до сих	1	1
29	у нас до	1	1
30	смысле можно сказать	1	1
31	как нам представляется	1	1
32	не было бы	1	1
33	более или менее	1	1
34	мы имеем в	1	1
35	при таком понимании	1	1
36	не могут быть	2	1
37	одним из самых	1	1
38	и что все	1	1
39	на первый план	1	1
40	а не только	1	1
41	является одним из	1	1
42	нам представляется что	1	1
43	чем то что	1	1
44	это было бы	1	1
45	с другом не	1	1
