N	4gram	Vinokur_Vv_1	Freidism
1	в то же время	5	4
2	одной и той же	2	3
3	бы то ни было	1	2
4	но во всяком случае	1	2
5	в зависимости от того	1	2
6	но в то же	3	2
7	это как будто бы	1	1
8	ответить на этот вопрос	1	1
9	т д таким образом	1	1
10	приходит к выводу что	1	1
11	как мы уже знаем	1	1
12	мы имеем в виду	1	1
13	не может быть и	1	1
14	и тем не менее	3	1
15	в собственном смысле этого	1	1
16	в том что в	1	1
17	говорить о том что	1	1
18	собственном смысле этого слова	1	1
19	может быть и речи	1	1
20	в целом ряде других	1	1
21	в собственном смысле слова	1	1
22	и со стороны содержания	1	1
23	он сам об этом	1	1
24	вообще не может быть	1	1
25	и т д таким	1	1
26	ответ на этот вопрос	1	1
