N	2gram	Medvedev_B_1	EvropaiC
1	таким образом	1	32
2	и в	1	24
3	все же	1	15
4	все это	2	11
5	так и	1	10
6	что в	1	9
7	на самом	1	7
8	и не	2	7
9	должна быть	1	6
10	еще не	1	6
11	и на	1	6
12	с другой	1	6
13	не только	1	5
14	что все	1	5
15	как будто	1	5
16	далеко не	1	5
17	другой стороны	1	5
18	в области	1	4
19	совершенно не	1	4
20	вопрос о	1	3
21	не вполне	1	3
22	в данном	1	3
23	лучше и	2	3
24	у нас	3	3
25	прежде всего	1	3
26	же не	1	3
27	и потому	1	3
28	не то	2	3
29	тем более	1	3
30	и ее	1	2
31	в ней	2	2
32	меньше чем	1	2
33	во всяком	1	2
34	не следует	1	2
35	и более	1	2
36	говорить о	1	2
37	о них	1	2
38	было бы	1	2
39	всяком случае	1	2
40	не было	1	2
41	отнюдь не	1	2
42	между ними	1	2
43	лучшим из	1	1
44	кроме того	1	1
45	сейчас в	1	1
46	стоит на	1	1
47	в своей	1	1
48	является только	1	1
49	по крайней	1	1
50	нельзя не	1	1
51	больше чем	2	1
52	к ней	1	1
53	более что	1	1
54	никак не	1	1
55	в значительной	1	1
56	крайней мере	1	1
57	на которой	1	1
58	точке зрения	1	1
59	до конца	1	1
60	а не	1	1
61	работу по	1	1
62	точно и	1	1
63	всего в	1	1
64	будто бы	1	1
65	нет но	1	1
