N	3gram	Tiupa_Lite_1	Istorich
1	и то что	2	5
2	до сих пор	1	5
3	с другой стороны	1	4
4	но все же	1	4
5	не может быть	1	4
6	на то что	1	3
7	в данном случае	4	3
8	о том что	2	2
9	с собой в	1	2
10	не только в	4	2
11	в связи с	4	2
12	на задний план	1	2
13	тем не менее	2	2
14	подобно тому как	2	1
15	в виду не	2	1
16	и тем самым	2	1
17	тогда как в	1	1
18	между прочим и	1	1
19	в этой связи	1	1
20	в том числе	1	1
21	в большинстве случаев	1	1
22	дело не только	2	1
23	потому что я	1	1
24	и не только	1	1
25	нельзя сказать что	1	1
26	по большей части	1	1
27	с той же	1	1
28	тем более что	1	1
29	знает что он	1	1
30	он не мог	1	1
31	ничего общего с	1	1
32	не мог бы	1	1
33	не могло быть	2	1
34	имеется в виду	1	1
35	хотя бы на	1	1
36	в зависимости от	1	1
37	на том что	1	1
38	в русской и	1	1
39	представляют собой лишь	1	1
40	а не только	1	1
