N	2gram	Medvedev_B_1	Dialekti
1	и не	2	30
2	и в	1	19
3	не только	1	19
4	а не	1	16
5	так и	1	10
6	крайней мере	1	9
7	по крайней	1	9
8	прежде всего	1	8
9	в своей	1	8
10	что в	1	7
11	совершенно не	1	7
12	как будто	1	7
13	отнюдь не	1	6
14	говорить о	1	5
15	должна быть	1	5
16	не то	2	5
17	и потому	1	5
18	с другой	1	5
19	все же	1	4
20	еще не	1	4
21	таким образом	1	4
22	за пределы	1	4
23	другой стороны	1	4
24	все это	2	4
25	не было	1	3
26	кроме того	1	3
27	об этом	1	3
28	же не	1	3
29	то как	1	3
30	будто бы	1	3
31	вопрос о	1	3
32	было бы	1	3
33	и более	1	3
34	в данном	1	3
35	во всяком	1	2
36	со всем	1	2
37	в ней	2	2
38	на самом	1	2
39	бы только	1	2
40	всяком случае	1	2
41	также что	1	2
42	и нет	1	2
43	его не	1	2
44	в области	1	2
45	творчества и	1	1
46	было и	1	1
47	и ее	1	1
48	остановиться на	1	1
49	и во	1	1
50	также не	1	1
51	нас еще	1	1
52	из ее	1	1
53	целиком в	1	1
54	не все	1	1
55	по теории	1	1
56	и о	1	1
57	для которой	1	1
58	не о	1	1
59	что все	1	1
60	больше чем	2	1
61	и меньше	1	1
62	он свою	1	1
63	и на	1	1
64	о них	1	1
65	иначе не	1	1
66	далеко не	1	1
67	тем более	1	1
68	говорить не	1	1
69	короче говоря	1	1
