N	4gram	Bakhtin_Pr_2	KulturaY
1	и т п в	1	3
2	в той или иной	3	2
3	можно было бы привести	1	2
4	строить свою речь в	1	1
5	в самом деле в	1	1
6	той или иной степени	1	1
7	сама по себе еще	1	1
8	в то же время	5	1
9	и т д но	1	1
10	с двух точек зрения	1	1
11	тем более интересна что	1	1
12	а может быть и	1	1
13	если бы не было	1	1
14	не с точки зрения	1	1
15	той или иной форме	1	1
16	в собственном смысле слова	1	1
17	по себе еще не	2	1
18	и не может быть	1	1
19	и т п так	1	1
20	никогда не может быть	1	1
21	то это вовсе не	1	1
