N	2gram	Medvedev_B_1	Vladivir
1	и в	1	31
2	не только	1	24
3	и не	2	17
4	что в	1	14
5	кроме того	1	7
6	об этом	1	7
7	у нас	3	6
8	так и	1	6
9	и потому	1	6
10	не было	1	5
11	все это	2	5
12	в своей	1	4
13	к ней	1	4
14	никак не	1	4
15	и на	1	3
16	за пределы	1	3
17	отнюдь не	1	3
18	все же	1	3
19	таким образом	1	3
20	с другой	1	3
21	другой стороны	1	3
22	еще не	1	2
23	не мешало	1	2
24	более подробно	1	2
25	что все	1	2
26	было бы	1	2
27	больше чем	2	2
28	более что	1	2
29	и о	1	2
30	то как	1	2
31	всяком случае	1	2
32	одной из	1	2
33	тем более	1	2
34	совершенно не	1	2
35	во всяком	1	2
36	книги в	1	1
37	на самом	1	1
38	видеть в	2	1
39	не вполне	1	1
40	в ней	2	1
41	не следует	1	1
42	вопрос о	1	1
43	о них	1	1
44	в области	1	1
45	этой книги	1	1
46	учебное пособие	1	1
47	в эпоху	1	1
48	отметить также	1	1
49	в значительной	1	1
50	и во	1	1
51	на которой	1	1
52	далеко не	1	1
53	прежде всего	1	1
54	до конца	1	1
55	а не	1	1
56	в данном	1	1
57	и более	1	1
58	того замечания	1	1
59	между ними	1	1
