N	3gram	Nazirov_Tr_1	Marksizm
1	не может быть	1	10
2	в то же	5	8
3	то же время	5	8
4	в связи с	1	7
5	в том что	2	6
6	с самого начала	1	5
7	но в то	2	5
8	в самом деле	1	5
9	смысле этого слова	1	4
10	о том что	2	3
11	к тому что	1	3
12	и не может	1	3
13	в отличие от	2	3
14	в высшей степени	1	3
15	отнюдь не является	1	2
16	том что он	1	2
17	во всяком случае	1	2
18	сам по себе	1	1
19	так и в	3	1
20	добро и зло	1	1
21	по сравнению с	1	1
22	не только по	1	1
23	как и в	1	1
24	так обстоит дело	1	1
25	у него нет	1	1
26	но все же	2	1
27	если б это	1	1
28	в той же	1	1
29	в этом случае	1	1
30	вообще не имеет	1	1
31	не могут быть	1	1
32	обстоит дело с	1	1
33	тем не менее	1	1
34	и добро и	1	1
35	ничего не значит	1	1
