N	4gram	Losev_Dial_1	formyVre
1	в то же время	4	4
2	и в то же	2	2
3	бы она ни была	1	2
4	одна и та же	2	2
5	в связи с этим	1	2
6	что они вовсе не	1	1
7	одно и то же	4	1
8	жизнь со всеми ее	1	1
9	с другой стороны в	1	1
10	но в конце концов	1	1
11	на первый взгляд может	1	1
12	друг с другом в	1	1
13	все больше и больше	1	1
14	и в этом отношении	1	1
15	ни в чем не	1	1
16	не было бы и	1	1
17	но в то же	1	1
18	взгляд может показаться что	1	1
19	первый взгляд может показаться	1	1
20	в то время как	1	1
