N	3gram	Tiupa_Narr_1	Istorich
1	и т д	1	24
2	в этих случаях	1	7
3	и то что	1	5
4	точно так же	1	5
5	до сих пор	2	5
6	с другой стороны	1	4
7	но все же	1	4
8	же как и	1	4
9	не может быть	4	4
10	что иное как	1	3
11	на то что	2	3
12	как мы видели	1	3
13	в данном случае	8	3
14	о том что	2	2
15	не только в	6	2
16	в связи с	2	2
17	содержит в себе	1	2
18	то же самое	2	2
19	тем не менее	3	2
20	подобно тому как	3	1
21	мы не можем	1	1
22	и тем самым	4	1
23	ничего не говорит	1	1
24	в этой связи	1	1
25	из них не	1	1
26	в том числе	1	1
27	обращается к нему	1	1
28	дело не только	1	1
29	из которых он	1	1
30	с этого момента	1	1
31	не говорится но	1	1
32	к тому что	1	1
33	в центре внимания	2	1
34	и не только	1	1
35	как и в	1	1
36	можно сказать что	2	1
37	друг на друга	2	1
38	по большей части	3	1
39	и не по	1	1
40	не мог говорить	1	1
41	могло бы составить	1	1
42	и не может	1	1
43	он уже не	1	1
44	внимание на то	2	1
45	одна из них	1	1
46	не мог бы	1	1
47	мере того как	1	1
48	до нас в	1	1
49	все тех же	1	1
50	не только с	1	1
51	не могло быть	1	1
52	при всей своей	1	1
53	в меньшей степени	1	1
54	что у него	1	1
55	а в тех	1	1
56	в зависимости от	2	1
57	порой в качестве	1	1
58	по мере того	1	1
59	но и в	2	1
60	может быть и	1	1
61	к такого рода	1	1
62	как и все	1	1
63	как мы увидим	1	1
64	мы уже знаем	1	1
65	и полагает что	1	1
66	и то же	2	1
67	одно и то	2	1
