N	3gram	Ircho_Kome_3	Istorich
1	и т д	1	18
2	с другой стороны	2	8
3	с одной стороны	3	7
4	в этом случае	2	7
5	вместе с тем	3	6
6	о том что	4	4
7	в связи с	3	4
8	но все же	2	4
9	тем не менее	3	4
10	делает вид что	1	3
11	но вместе с	1	3
12	т е в	2	3
13	для того чтобы	6	3
14	после того как	1	3
15	о том как	3	2
16	друг с другом	1	2
17	что и в	2	2
18	в том что	9	2
19	по отношению к	3	2
20	на то что	1	2
21	в некоторых случаях	1	2
22	наряду с этим	2	2
23	до сих пор	9	2
24	потому что он	1	2
25	в том чтобы	1	2
26	подобно тому как	1	1
27	опять не знаем	1	1
28	не мешает ему	2	1
29	в то же	4	1
30	в том числе	1	1
31	вопрос о том	1	1
32	этой точки зрения	1	1
33	обращает на себя	1	1
34	в ином порядке	1	1
35	к этому же	1	1
36	еще не был	1	1
37	но и здесь	1	1
38	то обстоятельство что	2	1
39	так что он	1	1
40	можно сказать что	1	1
41	с самого начала	4	1
42	только для того	2	1
43	мы опять не	1	1
44	а с точки	1	1
45	надо прежде всего	1	1
46	в соответствии с	1	1
47	что он не	2	1
48	к ней и	1	1
49	до н э	1	1
50	в то время	2	1
51	он понимает что	1	1
52	лет тому назад	4	1
53	как мы знаем	1	1
54	что девушку в	1	1
55	брак с дочерью	1	1
56	его на своей	1	1
57	одной стороны и	1	1
58	в самом деле	6	1
59	то же время	4	1
60	только один из	1	1
61	что у него	1	1
62	только что и	1	1
63	в виду что	1	1
64	в зависимости от	1	1
65	здесь мы видим	1	1
66	к себе в	1	1
67	том числе и	1	1
68	с точки зрения	3	1
69	то время как	2	1
70	много лет тому	1	1
71	в отличие от	1	1
72	на вопрос почему	1	1
73	со своими мужьями	1	1
74	его роль в	1	1
75	то что он	1	1
76	даже если бы	1	1
77	того как эти	1	1
78	во всяком случае	3	1
79	в свою очередь	6	1
80	из них является	1	1
81	с этой точки	1	1
82	состоит в том	2	1
