N	3gram	Berdyaev_N_1	Literetu
1	в отличие от	1	5
2	с одной стороны	2	4
3	о том что	1	4
4	в том что	1	4
5	в том числе	1	3
6	не может быть	4	3
7	подобно тому как	3	2
8	потому что не	1	2
9	но и в	1	2
10	том числе и	1	2
11	в то что	1	2
12	в том чтобы	1	2
13	не только в	1	2
14	с другой стороны	2	2
15	и вместе с	1	2
16	по существу своему	1	1
17	как будто бы	1	1
18	в зависимость от	1	1
19	вместе с тем	2	1
20	тому как в	1	1
21	то что в	1	1
22	может быть только	1	1
23	в значительной степени	1	1
24	это и есть	1	1
25	вопрос о том	2	1
26	я не могу	1	1
27	xix и xx	4	1
28	в этой системе	1	1
29	не знает что	1	1
30	быть не может	1	1
31	во внешнюю жизнь	1	1
