N	3gram	Savitsky_P_1	Analitik
1	в том что	4	7
2	с другой стороны	1	5
3	в то же	7	3
4	то же время	7	3
5	с одной стороны	3	2
6	на наш взгляд	1	2
7	в отличие от	1	2
8	в сравнении с	3	2
9	тот или иной	1	2
10	с точки зрения	3	2
11	во всяком случае	1	2
12	заключается в том	2	1
13	с тем же	1	1
14	в этом смысле	1	1
15	можно судить по	1	1
16	в большинстве случаев	1	1
17	до тех пор	1	1
18	именно потому что	1	1
19	же время в	1	1
20	хотя бы и	1	1
21	само по себе	1	1
22	тем более что	1	1
23	в отдельности и	1	1
24	а в качестве	1	1
25	в этом мире	1	1
26	и теперь в	1	1
27	в русской культуре	1	1
28	для того чтобы	1	1
29	этот спор не	1	1
30	не только в	4	1
31	между тем в	1	1
32	в полной мере	2	1
33	в известном смысле	1	1
34	в применении к	1	1
35	не в том	1	1
36	не только как	1	1
37	не может быть	1	1
