1	и в	3	14
2	не только	1	10
3	а не	1	10
4	формального метода	1	9
5	и не	1	8
6	не может	4	7
7	может быть	1	6
8	то же	1	5
9	но и	1	4
10	для него	1	3
11	в то	1	3
12	же время	1	3
13	в системе	1	2
14	в его	1	2
15	если бы	1	2
16	художественного произведения	1	2
17	и истории	1	1
18	поэтики и	1	1
19	в ней	1	1
20	искусство как	1	1
21	нет и	1	1
22	и все	1	1
23	в противоположную	1	1
24	о литературе	1	1
25	литературного произведения	1	1
26	бы в	1	1
27	метода он	1	1
28	как искусство	1	1
29	он в	1	1
30	достоевского и	2	1
