N	2gram	Medvedev_I_1	FransuaR
1	и в	1	56
2	все эти	1	15
3	в этом	2	14
4	так и	1	13
5	в них	1	11
6	и не	2	9
7	и с	3	8
8	и др	1	8
9	все это	1	8
10	что в	2	5
11	никогда не	1	5
12	он не	2	5
13	того чтобы	1	4
14	в основе	1	4
15	а также	1	3
16	что для	1	3
17	и о	1	3
18	бы в	1	3
19	в значительной	1	2
20	эпизод с	1	2
21	и чрезвычайно	1	2
22	у всех	1	2
23	на котором	1	2
24	а в	1	2
25	в эту	1	2
26	для него	1	2
27	для того	1	2
28	и еще	1	2
29	в киеве	1	2
30	если бы	1	2
31	другой стороны	1	2
32	и сам	1	2
33	с другой	1	2
34	во многом	1	2
35	жизни и	1	1
36	того же	1	1
37	все четыре	1	1
38	отношению к	1	1
39	утверждает что	1	1
40	и со	1	1
41	бы что	2	1
42	дает и	1	1
43	себя в	1	1
44	половом отношении	1	1
45	со всеми	1	1
46	не чужд	1	1
47	носит имя	1	1
48	того что	1	1
49	было не	1	1
50	жил в	1	1
51	по отношению	1	1
52	в огороде	1	1
53	он с	1	1
54	в половом	1	1
55	и серьезно	1	1
56	автора и	1	1
57	а с	1	1
58	тем что	1	1
59	с жизнью	1	1
60	понятий и	1	1
61	его личности	1	1
62	это было	1	1
63	по поводу	1	1
64	бузина а	1	1
65	и та	1	1
66	огороде бузина	1	1
67	сам писатель	1	1
68	после смерти	1	1
69	для других	1	1
70	что роман	1	1
71	отец писателя	1	1
72	и гоголь	1	1
73	это был	1	1
74	значительной мере	1	1
75	но когда	1	1
