N	3gram	Berdyaev_N_1	FransuaR
1	о том что	1	5
2	с одной стороны	2	4
3	в средние века	3	4
4	в большинстве случаев	1	4
5	до сих пор	1	3
6	конечно не в	1	2
7	в том что	1	2
8	хотя и в	1	2
9	но и в	1	2
10	с другой стороны	2	2
11	в самом себе	1	1
12	и в истории	1	1
13	и в ней	1	1
14	в другие времена	1	1
15	человека и в	1	1
16	как это было	1	1
17	это конечно не	1	1
18	никогда не было	2	1
19	в значительной степени	1	1
20	не только в	1	1
21	нового времени в	1	1
22	одного и того	1	1
23	это связано с	1	1
24	между небом и	1	1
25	вместе с тем	2	1
26	со всех сторон	3	1
27	и до сих	1	1
28	в зависимости от	1	1
29	та или иная	1	1
30	что он может	1	1
31	в нем не	1	1
32	в эпоху ренессанса	1	1
33	то что он	1	1
34	в эту эпоху	1	1
35	и того же	1	1
36	в то время	1	1
37	не может быть	4	1
