N	4gram	Bakhtin_Fr_1	Problemy
1	в то же время	1	12
2	к себе самому и	1	4
3	но в то же	1	3
4	мы уже говорили что	2	2
5	сводится к тому чтобы	1	2
6	в той или иной	5	2
7	конечно очень далек от	1	1
8	большей или меньшей степени	4	1
9	во всяком случае не	1	1
10	до сих пор еще	3	1
11	как мы уже говорили	2	1
12	той или иной форме	4	1
13	на самом деле все	1	1
14	все более и более	1	1
15	не чем иным как	1	1
16	той или иной степени	1	1
17	на самом же деле	3	1
18	в большей или меньшей	4	1
19	выходит за пределы нашей	2	1
