N	4gram	Tiupa_Narr_2	Myshleni
1	с этой точки зрения	1	4
2	с одной стороны и	1	3
3	состоит в том что	4	3
4	той мере в какой	2	2
5	смысле можно сказать что	1	2
6	точно так же как	2	2
7	в известном смысле можно	1	2
8	в той мере в	2	2
9	одним и тем же	1	2
10	в то время как	1	2
11	известном смысле можно сказать	1	2
12	и не может быть	1	1
13	только по отношению к	1	1
14	не обращая внимания на	1	1
15	не что иное как	1	1
16	представляет собой один из	1	1
17	что с точки зрения	1	1
18	есть не что иное	1	1
