N	4gram	Vinokur_St_1	Myshleni
1	заключается в том что	2	4
2	в то время как	1	4
3	так же как и	1	4
4	ответ на этот вопрос	1	2
5	потому что он не	1	1
6	о том что в	1	1
7	я не могу себе	1	1
8	в том числе и	2	1
9	в том что этот	1	1
10	даже по отношению к	1	1
11	и в то же	1	1
12	в то же время	4	1
13	то же время не	1	1
14	не могу себе представить	1	1
15	с точки зрения той	1	1
16	собой разумеется что в	1	1
17	ответа на вопрос о	1	1
18	и мн др но	1	1
19	когда речь идет о	2	1
20	и в этом отношении	1	1
21	для того чтобы убедиться	1	1
22	и та и другая	1	1
23	само собой разумеется что	1	1
24	в том что он	1	1
25	в том что в	2	1
26	дело в том что	4	1
27	говорить о том что	1	1
28	что с точки зрения	1	1
29	того чтобы убедиться в	1	1
30	сомнений в том что	1	1
