N	4gram	Bakhtin_Fr_8	slovoVRo
1	в то же время	10	12
2	в той или иной	1	9
3	той или иной степени	1	9
4	и в то же	5	5
5	но в то же	2	4
6	большей или меньшей степени	3	3
7	в большей или меньшей	3	3
8	и в особенности на	2	2
9	как мы уже сказали	1	2
10	бы оно ни было	1	1
11	ни с одним из	2	1
12	какая бы то ни	1	1
13	в нем до конца	1	1
14	зрения на мир и	1	1
15	как бы ни был	1	1
16	в большинстве случаев не	1	1
17	все эти слова и	1	1
18	и до наших дней	1	1
19	то же время этот	1	1
20	сложнее обстоит дело с	1	1
21	в основе их лежат	1	1
22	на самом же деле	1	1
23	можно прямо сказать что	1	1
24	жизни слова в романе	1	1
25	никогда не может быть	1	1
26	дело в том что	2	1
27	автора к языку и	1	1
28	бы то ни было	1	1
29	стилистической жизни слова в	1	1
30	то же время в	1	1
31	интерес к диалектам и	1	1
32	в результате этой работы	1	1
