N	4gram	Vinokur_St_1	Dialekti
1	в то же время	4	3
2	в том смысле что	1	3
3	в то время как	1	3
4	ни в каком случае	1	2
5	не выходя за пределы	1	2
6	и т д и	2	2
7	т д и т	1	2
8	это не значит что	3	2
9	д и т д	1	2
10	не говоря уже о	1	2
11	о том что в	1	1
12	и т д в	1	1
13	и говорить о том	1	1
14	что бы то ни	1	1
15	и в то же	1	1
16	что то или иное	1	1
17	заключается в том что	2	1
18	в одних и тех	1	1
19	вопрос о том что	1	1
20	в данном случае в	2	1
21	и в том и	1	1
22	одних и тех же	1	1
23	нечего и говорить о	1	1
24	вовсе не в том	1	1
25	в каком случае не	1	1
26	на тему о том	1	1
27	в том смысле как	1	1
28	но это не значит	1	1
29	во что бы то	1	1
30	я бы сказал что	1	1
31	в том что он	1	1
32	бы то ни стало	1	1
33	говорить о том что	1	1
34	так же как и	1	1
35	именно в том что	1	1
36	одно из двух или	1	1
37	в том отношении что	2	1
