N	4gram	Bakhtin_Pr_3	FransuaR
1	в той или иной	2	5
2	большей или меньшей степени	1	4
3	той или иной форме	1	4
4	в большей или меньшей	1	4
5	до сих пор еще	1	3
6	на самом же деле	1	3
7	как мы уже говорили	1	2
8	мы уже говорили что	2	2
9	выходит за пределы нашей	1	2
10	не чем иным как	1	1
11	в то же время	12	1
12	сводится к тому чтобы	2	1
13	конечно очень далек от	1	1
14	все более и более	1	1
15	во всяком случае не	1	1
16	той или иной степени	1	1
17	но в то же	3	1
18	к себе самому и	4	1
19	на самом деле все	1	1
