N	2gram	Voloshinov_1	Psycholo
1	и в	3	38
2	может быть	1	19
3	точки зрения	1	16
4	в ней	1	15
5	если бы	1	14
6	не только	1	12
7	мы видим	1	12
8	то же	1	10
9	и не	1	10
10	и все	1	10
11	с точки	1	9
12	не может	4	7
13	а не	1	7
14	и на	1	6
15	тому что	1	6
16	к тому	1	6
17	один из	2	6
18	несмотря на	1	5
19	в его	1	5
20	но и	1	5
21	смысл и	1	4
22	и заставляет	1	3
23	из этих	1	3
24	бы в	1	3
25	с теми	1	3
26	в то	1	3
27	и больше	1	2
28	он в	1	2
29	для него	1	2
30	на примере	1	2
31	можно назвать	1	2
32	художественного произведения	1	1
33	превращается у	1	1
34	событий и	1	1
35	нет и	1	1
36	ни один	1	1
37	с другими	1	1
38	и форму	1	1
39	именно с	1	1
40	может не	1	1
41	и можно	1	1
42	эту издавна	1	1
43	не из	1	1
44	почти с	1	1
45	по своим	1	1
46	бы на	1	1
47	в противоположную	1	1
