N	3gram	Nazirov_Tr_1	StatiiOP
1	в том что	2	17
2	о том что	2	11
3	и т п	1	9
4	во всяком случае	1	6
5	в данном случае	2	6
6	в самом деле	1	5
7	не может быть	1	5
8	так и в	3	4
9	в то же	5	4
10	то же время	5	4
11	но все же	2	3
12	и в этом	1	3
13	за то что	1	3
14	и в самом	2	3
15	в применении к	1	3
16	на вопрос о	1	2
17	и то что	1	2
18	хотя бы и	1	2
19	но в то	2	2
20	как и в	1	2
21	в той же	1	2
22	в этом случае	1	2
23	тем не менее	1	2
24	в одном из	1	1
25	точно так же	2	1
26	в таком виде	1	1
27	писателя в том	1	1
28	отметить что в	1	1
29	в конце концов	1	1
30	это может быть	1	1
31	к тому что	1	1
32	бориса годунова и	1	1
33	что он не	1	1
34	и не может	1	1
35	объясняется и то	1	1
36	это не просто	1	1
37	мысль о том	1	1
38	вся состоит из	1	1
39	в обоих случаях	1	1
40	а между тем	1	1
41	мировой литературы и	1	1
42	с того что	1	1
43	и с тем	1	1
44	ответа на вопрос	1	1
45	же во времена	1	1
46	после того как	1	1
47	смысле этого слова	1	1
48	объясняется тем что	1	1
49	то что он	1	1
50	том что он	1	1
51	что в таком	1	1
52	прежде всего необходимо	1	1
