N	4gram	Vygotskiy__6	Problemy
1	том и в другом	1	1
2	по отношению к другому	1	1
3	он сам по себе	1	1
4	его отношение к другим	1	1
5	в этом смысле можно	1	1
6	мы могли бы сказать	2	1
7	и его отношение к	1	1
8	смысле можно сказать что	1	1
9	не видит того что	1	1
10	и т.д и в	1	1
11	он с самого начала	1	1
12	друг к другу как	2	1
13	одного и того же	4	1
14	и по отношению к	1	1
15	то время как в	1	1
16	этом смысле можно сказать	1	1
17	но в этом случае	1	1
18	в том и в	1	1
19	относятся друг к другу	1	1
20	в то время как	5	1
