N	3gram	Medvedev_F_1	Morfolog
1	и т д	8	47
2	мы видим что	1	9
3	в связи с	2	8
4	не может быть	5	8
5	связи с этим	2	5
6	а также и	1	4
7	по отношению к	4	4
8	с точки зрения	13	4
9	тем не менее	1	4
10	с другой стороны	1	4
11	и пр и	2	3
12	на самом деле	6	3
13	но все же	1	3
14	как мы увидим	2	3
15	с одной стороны	4	2
16	в большинстве случаев	2	2
17	и пр он	1	2
18	может быть и	3	2
19	вне связи с	1	2
20	в том что	1	2
21	то же происходит	1	2
22	состоит в том	1	2
23	в настоящее время	10	2
24	более или менее	6	2
25	но это бывает	1	1
26	с самого начала	1	1
27	и пр чем	1	1
28	во что бы	2	1
29	вслед за этим	1	1
30	между прочим и	1	1
31	это значит что	1	1
32	же время и	1	1
33	в то же	8	1
34	бы то ни	3	1
35	т е он	1	1
36	точки зрения их	2	1
37	нисколько не меняет	1	1
38	что бы то	2	1
39	прежде всего и	1	1
40	а вовсе не	2	1
41	в противном случае	1	1
42	со всеми другими	1	1
43	совсем не так	1	1
44	к тому что	1	1
45	все же в	1	1
46	то ни стало	2	1
47	самом деле в	1	1
48	хотя и здесь	1	1
49	эти две формы	1	1
50	он не дает	1	1
51	вместо того чтобы	1	1
52	и может быть	1	1
53	можно указать на	1	1
54	в целом и	1	1
55	если она есть	1	1
56	если же он	1	1
57	то же время	8	1
58	находится еще в	1	1
59	не дают никаких	1	1
60	в применении к	2	1
61	все более и	2	1
62	один из важнейших	1	1
63	т е на	1	1
64	во всяком случае	4	1
65	что и в	1	1
66	в данном случае	1	1
67	перейти к разработке	1	1
68	более и более	2	1
69	до сих пор	6	1
