N	4gram	Potebnia_M_1	VeschiIm
1	бы то ни было	1	9
2	не что иное как	2	8
3	д и т д	1	7
4	в то же время	3	4
5	указывает на то что	1	3
6	заключается в том что	1	2
7	с этой точки зрения	1	2
8	дело в том что	2	2
9	с одной стороны и	1	1
10	и т д в	1	1
11	а в том что	2	1
12	что бы то ни	1	1
13	то ни было но	1	1
14	или по крайней мере	1	1
15	не только потому что	1	1
16	в том смысле что	1	1
17	и как бы ни	1	1
18	что несмотря на все	1	1
19	одного и того же	2	1
20	еще и потому что	1	1
21	и т д то	1	1
22	между собою так что	1	1
