N	4gram	Medvedev_F_1	Problemy
1	в то же время	8	5
2	но в то же	2	3
3	может быть более или	1	2
4	быть более или менее	1	2
5	с одной стороны и	4	1
6	не с точки зрения	1	1
7	мы увидим дальше что	1	1
8	в том числе и	1	1
9	как если бы оно	2	1
10	в настоящее время начинает	1	1
11	тем не менее в	1	1
12	более или менее глубокой	1	1
13	и не может быть	2	1
14	с точки зрения своей	1	1
15	и до настоящего времени	1	1
16	бы то ни было	1	1
17	и т п в	1	1
18	занимает очень важное место	1	1
19	если бы оно было	2	1
20	и до сих пор	1	1
21	в большинстве же случаев	1	1
22	то же время не	1	1
