N	4gram	Trubetskoy_1	DiskursI
1	в то же время	2	3
2	в том числе и	1	2
3	не говоря уже о	1	2
4	одного и того же	3	2
5	а в том что	1	2
6	и в другом случае	1	1
7	заключается в том что	2	1
8	одно и то же	1	1
9	одному и тому же	1	1
10	в тех случаях когда	1	1
11	в том или ином	1	1
12	в том что он	1	1
13	в том и в	1	1
14	именно в том что	1	1
15	более или менее значительный	1	1
16	состоит в том что	1	1
17	не только по отношению	1	1
18	том и в другом	1	1
19	только по отношению к	1	1
20	только в том случае	1	1
21	и не может быть	1	1
22	как и все прочие	1	1
23	не в том что	1	1
24	и в том и	1	1
25	состоит именно в том	1	1
26	в том случае если	4	1
27	нет и не может	1	1
28	дело в том что	1	1
