N	4gram	Vinokur_Ku_3	Formalny
1	в то же время	1	8
2	и не может быть	1	2
3	во что бы то	1	2
4	бы то ни стало	1	2
5	с точки зрения их	1	2
6	что бы то ни	1	2
7	и пр и пр	1	2
8	не с точки зрения	1	1
9	и в то же	1	1
10	ни на минуту не	1	1
11	с точки зрения ее	1	1
12	в этом смысле можно	1	1
13	чтобы вслед за этим	1	1
14	что он в своем	1	1
15	с этой точки зрения	1	1
16	не говоря уже о	2	1
17	что и в этом	1	1
18	и т п в	3	1
19	в зависимости от того	3	1
20	т е она не	1	1
21	не выходит за пределы	1	1
22	в том отношении что	1	1
23	что на самом деле	1	1
