N	4gram	Potebnia_M_2	KulturaY
1	в то же время	2	3
2	в большей или меньшей	1	3
3	и т п а	1	2
4	в том случае если	1	2
5	и т д и	1	1
6	а а не с	1	1
7	в том смысле как	2	1
8	с а а не	1	1
9	дело в том что	1	1
10	в то время как	3	1
11	состоит в том что	1	1
12	сами по себе они	1	1
13	что само по себе	1	1
14	в одном и том	1	1
15	одной и той же	1	1
16	той мере в какой	1	1
17	бы то ни было	1	1
18	языка и т д	1	1
19	лишь в той мере	1	1
20	сама по себе не	2	1
21	само по себе не	1	1
22	в той мере в	1	1
23	становится для нас менее	1	1
24	указание на то что	1	1
25	одном и том же	1	1
26	только в том что	1	1
