N	4gram	Potebnia_M_3	Myshleni
1	заключается в том что	1	4
2	в то время как	1	4
3	один и тот же	1	3
4	по самой своей природе	1	2
5	в том что он	2	2
6	с одной стороны и	1	1
7	и что только в	1	1
8	сливаются друг с другом	1	1
9	но вместе с тем	1	1
10	одно и то же	5	1
11	того что происходит в	1	1
12	между тем и другим	1	1
13	в том смысле что	1	1
14	то же что сказать	1	1
15	одной и той же	2	1
16	именно то что только	1	1
17	вместе с тем мы	1	1
18	прибавим к этому что	1	1
19	только в том что	2	1
20	то же следует сказать	1	1
21	от того что мы	1	1
