N	3gram	Kanaev_Sov_1	Dialekti
1	в том что	1	9
2	с точки зрения	5	9
3	не что иное	1	8
4	что иное как	1	8
5	это значит что	1	7
6	по крайней мере	1	7
7	в то же	1	6
8	ровно ничего не	1	6
9	то же время	1	6
10	не может быть	4	6
11	есть не что	1	5
12	не в том	1	4
13	в этом смысле	1	4
14	одной и той	1	3
15	и в этом	1	3
16	и той же	1	3
17	но только не	1	2
18	и в то	1	2
19	мы видим что	1	2
20	равно как и	1	2
21	ничего общего не	1	2
22	тем не менее	2	2
23	в свою очередь	2	2
24	может быть в	1	1
25	ни о каком	1	1
26	это и будет	1	1
27	в том случае	1	1
28	же это не	1	1
29	и именно в	1	1
30	а не только	1	1
31	как бы план	1	1
32	и есть не	1	1
33	в древней греции	1	1
34	теперь мы должны	1	1
35	дело в том	1	1
36	все же это	1	1
37	и прежде всего	1	1
38	в этом случае	1	1
39	и та же	1	1
40	и не может	1	1
41	и само собою	1	1
42	вместе с ним	1	1
43	это или нет	1	1
44	не более как	1	1
45	а потом и	1	1
46	не имеет с	1	1
47	мы не знаем	1	1
48	общего не имеет	1	1
49	в обоих случаях	1	1
50	в отличие от	2	1
51	то ни другое	1	1
52	и ни в	1	1
53	ничего не сказано	1	1
54	не было бы	1	1
55	точки зрения уже	1	1
56	ни то ни	1	1
57	все равно будет	1	1
58	может быть только	1	1
59	в связи с	1	1
60	но все же	1	1
61	в данном случае	1	1
62	в зависимости от	4	1
63	одна и та	1	1
64	но тем не	1	1
65	и есть то	1	1
66	той или иной	1	1
67	это как бы	1	1
68	не может не	3	1
69	и пр но	1	1
