N	4gram	Losev_Dial_1	KFilosof
1	ни в чем не	1	4
2	в то же время	4	2
3	одна и та же	2	1
4	точки зрения той или	1	1
5	несмотря на то что	2	1
6	это значило бы что	1	1
7	с точки зрения той	1	1
8	зрения той или иной	1	1
9	и не в том	1	1
10	же с точки зрения	1	1
11	в то или иное	1	1
12	в котором мы живем	1	1
13	и тем не менее	1	1
14	но в то же	1	1
15	а с точки зрения	2	1
16	совершенно не зависит от	1	1
17	дело в том что	1	1
18	значит ли это что	2	1
19	и в этом смысле	2	1
20	и в то же	2	1
21	котором мы живем и	1	1
