N	4gram	Vygotskiy__1	VLabPisa
1	с одной стороны и	1	2
2	в том числе и	1	2
3	одном и том же	1	2
4	в одном из писем	1	2
5	не могут быть сведены	1	1
6	что мы имеем дело	1	1
7	и т п все	2	1
8	в искусстве и в	1	1
9	с другой стороны в	1	1
10	явлений и процессов в	1	1
11	одну и ту же	1	1
12	о том что и	1	1
13	в том или ином	1	1
14	есть в конечном счете	1	1
15	никак не могут быть	1	1
16	но вместе с тем	1	1
17	о том что мы	1	1
18	в то время как	5	1
19	одно и то же	1	1
20	т п все это	2	1
21	с этой точки зрения	4	1
22	не может быть сведена	2	1
23	от всех других видов	1	1
24	не в том что	1	1
25	что по этому поводу	1	1
26	ни в какой мере	2	1
27	никогда не может быть	1	1
28	дело не в том	1	1
29	так же как и	1	1
30	может быть сведена к	2	1
31	в какой мере не	1	1
