N	4gram	Vinokur_Ku_2	slovoVRo
1	в то же время	3	12
2	в каждый данный момент	2	4
3	большей или меньшей степени	3	3
4	в большей или меньшей	3	3
5	и в другом случае	1	2
6	том и в другом	1	2
7	и в том и	1	2
8	в том и в	1	2
9	в то время как	1	2
10	слова не только в	1	1
11	одной и той же	1	1
12	и с другой стороны	1	1
13	все дело в том	1	1
14	с этой точки зрения	2	1
15	в узком смысле слова	1	1
16	или в лучшем случае	1	1
17	и т п в	2	1
18	находит свое выражение в	1	1
19	и т п не	1	1
20	но с другой стороны	1	1
21	дело в том что	1	1
22	и т п и	2	1
23	бы то ни было	1	1
24	в своей книге о	1	1
