N	4gram	Bakhtin_fo_1	VLabPisa
1	в то же время	6	5
2	и в то же	4	3
3	с одной стороны и	2	2
4	в том числе и	2	2
5	одном и том же	1	2
6	до сих пор не	1	1
7	и т п все	1	1
8	одну и ту же	1	1
9	в значительной мере и	1	1
10	в качестве одной из	1	1
11	в ту же ночь	1	1
12	не может быть и	1	1
13	но в то же	1	1
14	может быть и речи	1	1
15	но вместе с тем	1	1
16	в то время как	2	1
17	одно и то же	3	1
18	в той или иной	1	1
19	говорит о том что	1	1
20	в одном и том	1	1
21	всего бросается в глаза	1	1
22	прежде всего бросается в	1	1
23	так же как и	2	1
