N	3gram	Tiupa_Narr_2	Marksizm
1	с точки зрения	2	20
2	не может быть	2	13
3	в самом деле	1	9
4	и не может	2	9
5	до сих пор	1	8
6	в связи с	1	7
7	и того же	1	5
8	в отличие от	5	5
9	одного и того	1	5
10	всех без исключения	1	4
11	в то же	3	3
12	в большинстве случаев	1	3
13	и здесь мы	1	3
14	можно сказать что	3	3
15	для того чтобы	1	3
16	в том что	8	3
17	то же самое	1	3
18	является не только	1	3
19	то же время	3	3
20	в этом отношении	3	3
21	на этот вопрос	1	3
22	в чем же	1	2
23	так же как	2	2
24	внутренней речи как	1	2
25	или хотя бы	1	2
26	в данный момент	1	2
27	во всяком случае	1	2
28	в этом смысле	1	2
29	по отношению к	5	2
30	но при этом	3	2
31	тем не менее	4	2
32	в таком случае	1	2
33	можно было бы	1	2
34	подобно тому как	2	1
35	так или иначе	1	1
36	а в том	2	1
37	с одной стороны	5	1
38	так и в	1	1
39	одним и тем	1	1
40	не только не	2	1
41	говорящий и слушающий	1	1
42	как это делает	1	1
43	к тому что	3	1
44	именно то что	2	1
45	и тем же	1	1
46	понимания а не	2	1
47	не доказывает и	1	1
48	на самом деле	2	1
49	бы это был	1	1
50	не зависит от	2	1
51	по природе своей	1	1
52	и т.п но	1	1
53	вместо того чтобы	1	1
54	более или менее	1	1
55	не только в	6	1
56	в основе своей	1	1
57	той или иной	3	1
58	же обстоит дело	1	1
59	во всех без	1	1
60	с этой точки	1	1
61	по аналогии с	1	1
62	может быть только	1	1
63	которым можно было	1	1
64	ничего не доказывает	1	1
65	никогда не будет	1	1
66	в этом направлении	1	1
67	и в другом	1	1
68	но и в	2	1
69	в новейшее время	2	1
70	доказывает и не	1	1
71	а не только	1	1
72	только благодаря этому	1	1
73	и с точки	1	1
74	этой точки зрения	1	1
75	что мы были	1	1
76	а между тем	1	1
