N	4gram	Bakhtin_fo_1	Problemy
1	в то же время	6	5
2	мы имеем в виду	1	3
3	в том числе и	2	3
4	до сих пор не	1	2
5	но в то же	1	2
6	и до сих пор	1	2
7	как мы уже сказали	2	2
8	с одной стороны и	2	1
9	одно и то же	3	1
10	в той или иной	1	1
11	и в то же	4	1
12	одну и ту же	1	1
13	но дело в том	1	1
14	не было и не	1	1
15	то же время оно	1	1
16	здесь не место для	1	1
17	с его специфической логикой	1	1
18	было и не могло	1	1
19	в том что все	1	1
20	в средние века и	1	1
21	остановимся прежде всего на	1	1
22	дело в том что	2	1
23	и не могло быть	1	1
