N	4gram	Losev_Prob_5	StatiiOP
1	дело в том что	2	4
2	в то же время	1	4
3	в том числе и	1	2
4	но в то же	1	2
5	одним и тем же	1	2
6	уже о том что	1	1
7	в том что и	1	1
8	той и другой стороны	1	1
9	же мере в какой	1	1
10	и о том что	2	1
11	в том смысле что	1	1
12	с другой же стороны	1	1
13	не говоря уже о	1	1
14	о том что от	1	1
15	во что бы то	1	1
16	в том что он	1	1
17	бы то ни стало	1	1
18	уверен в том что	1	1
19	что бы то ни	1	1
20	свидетельствует о том что	1	1
21	также и то что	2	1
22	в то время как	3	1
