N	3gram	Medvedev_F_1	Myshleni
1	в том что	1	31
2	заключается в том	1	14
3	с точки зрения	13	11
4	с одной стороны	4	9
5	в этом смысле	1	8
6	с другой стороны	1	8
7	смысле этого слова	3	7
8	в этом отношении	1	7
9	так же как	1	5
10	не только не	2	5
11	и тем самым	1	4
12	же как и	1	4
13	этой точки зрения	1	4
14	с этой точки	1	4
15	между тем как	1	3
16	по сравнению с	1	3
17	во всяком случае	4	3
18	состоит в том	1	3
19	в связи с	2	3
20	вместе с тем	1	3
21	это значит что	1	2
22	в том числе	1	2
23	в высшей степени	1	2
24	в целом ряде	2	2
25	между этими двумя	1	2
26	но вместе с	1	2
27	в отличие от	1	2
28	в целом и	1	2
29	в настоящее время	10	2
30	одной стороны и	4	2
31	как мы видели	2	2
32	мы видим что	1	2
33	но и в	1	2
34	том числе и	1	2
35	не может не	1	2
36	в том чтобы	2	2
37	все более и	2	2
38	в свою очередь	6	2
39	в данном случае	1	2
40	более и более	2	2
41	не говоря уже	1	1
42	мы полагаем что	2	1
43	с самого начала	1	1
44	в процессе усвоения	1	1
45	в самой природе	1	1
46	распространяются и на	1	1
47	не может быть	5	1
48	по отношению к	4	1
49	бы то ни	3	1
50	убедиться в этом	2	1
51	том отношении что	1	1
52	и во всех	1	1
53	мы увидим что	1	1
54	и в частности	2	1
55	сказать что и	1	1
56	а также и	1	1
57	почти совершенно не	1	1
58	при этом не	1	1
59	что и в	1	1
60	перечисленные нами основные	1	1
61	этого слова а	1	1
62	до сих пор	6	1
63	по себе не	1	1
64	иначе как в	1	1
65	и в истории	1	1
66	в той же	1	1
67	только на основе	2	1
68	и в нашем	1	1
69	к тому что	1	1
70	как если бы	2	1
71	как один из	1	1
72	как это свойственно	1	1
73	и как бы	1	1
74	это то что	1	1
75	естественное место в	1	1
76	на самом деле	6	1
77	ничего общего с	1	1
78	в зависимости от	2	1
79	вместо того чтобы	1	1
80	и должен быть	1	1
81	должно быть отнесено	1	1
82	прав когда он	1	1
83	как и во	1	1
84	в том отношении	1	1
85	но и с	1	1
86	все эти вопросы	1	1
87	в своем дальнейшем	1	1
88	но все же	1	1
89	не только на	1	1
90	прежде всего в	3	1
91	все это в	1	1
92	мы нисколько не	1	1
93	со всеми другими	1	1
94	то же что	1	1
95	до последнего времени	1	1
96	в его основе	1	1
97	друг от друга	2	1
98	может войти в	2	1
99	тех или иных	1	1
100	по своей природе	1	1
101	во всей полноте	1	1
102	в процессе развития	1	1
103	внутренних и внешних	1	1
104	свое естественное место	1	1
105	говоря уже о	1	1
106	тем не менее	1	1
107	в центр внимания	1	1
108	есть еще одна	1	1
109	но даже и	1	1
110	центр внимания и	1	1
111	так и на	1	1
112	то ни было	1	1
113	в своем исследовании	1	1
114	своем дальнейшем развитии	1	1
