N	3gram	Nazirov_Tv_2	Dialekti
1	и т д	11	19
2	в том что	2	7
3	по себе не	1	5
4	ничего не говорит	1	4
5	в то же	7	4
6	то же время	7	4
7	с другой стороны	2	4
8	можно было бы	1	4
9	по крайней мере	2	4
10	я не буду	1	3
11	и в этом	1	3
12	ничего общего с	1	3
13	не значит что	1	3
14	только то что	1	3
15	что в нем	1	3
16	содержит в себе	1	3
17	только потому что	1	3
18	в нем нет	1	3
19	той или иной	1	3
20	не может быть	3	3
21	о том что	2	2
22	на точку зрения	1	2
23	это и есть	1	2
24	д и т	1	2
25	точно так же	1	2
26	и в то	2	2
27	и т п	2	2
28	до сих пор	3	2
29	может и не	1	2
30	во всяком случае	2	2
31	ни в чем	1	2
32	т д и	1	2
33	то или иное	1	2
34	в каждом из	1	2
35	я никогда не	1	2
36	в чем же	1	1
37	то что не	1	1
38	и должно быть	1	1
39	в самих себе	1	1
40	т д в	1	1
41	и дальше в	1	1
42	а о том	1	1
43	но в то	1	1
44	в первую очередь	1	1
45	об этом не	1	1
46	с самого начала	1	1
47	но это не	1	1
48	в дальнейшем но	1	1
49	не зависит от	1	1
50	то все же	1	1
51	еще ничего не	1	1
52	знаем что она	1	1
53	быть может и	1	1
54	в то время	1	1
55	это я делаю	1	1
56	в них нет	1	1
57	материалистов xviii века	1	1
58	к тому же	1	1
59	в чем не	1	1
60	т д все	1	1
61	он сам в	2	1
62	сами по себе	1	1
63	в связи с	1	1
64	в самом деле	2	1
65	все это я	1	1
66	в виду что	1	1
67	не могли помочь	1	1
68	отождествляется с ним	1	1
69	и абсолютная необходимость	1	1
70	д все это	1	1
71	дело в том	1	1
72	потому и является	1	1
73	она дана в	1	1
74	это не значит	1	1
75	хотя и не	1	1
