1	и в	2	33
2	в этом	1	28
3	все время	1	24
4	потому что	1	24
5	том что	2	22
6	в том	2	21
7	все это	1	13
8	и не	1	13
9	все то	1	12
10	в самом	1	12
11	самом деле	1	12
12	так как	1	12
13	то же	1	9
14	совершенно ясно	1	8
15	в конце	2	8
16	и только	1	7
17	и его	1	5
18	ясно что	1	5
19	я не	1	4
20	в частности	1	4
21	к этому	1	4
22	по поводу	1	4
23	только в	1	4
24	да и	1	3
25	конце концов	2	3
26	далеко не	1	3
27	в которых	1	3
28	сводится к	1	2
29	все дело	1	2
30	даже не	1	2
31	хотя бы	1	2
32	и то	1	2
33	по существу	1	2
34	столь же	1	2
35	не хотел	1	2
36	именно в	1	2
37	в их	1	2
38	и стоит	1	1
39	но разве	1	1
40	и обработки	1	1
41	жизни которое	1	1
42	каждая новая	1	1
43	степени уже	1	1
44	же с	1	1
45	гораздо более	1	1
46	так в	1	1
47	и заключается	1	1
48	что сами	1	1
49	техники и	1	1
50	с несколько	1	1
51	дело в	1	1
52	от других	1	1
53	в теории	1	1
54	к созданию	1	1
55	говоря о	1	1
56	главным образом	1	1
57	его языка	1	1
58	по своим	1	1
59	но это	1	1
60	и положения	1	1
61	которые они	1	1
62	в другом	1	1
63	на одном	1	1
64	и самым	1	1
65	речи и	1	1
66	более чем	1	1
