N	3gram	Tiupa_Hudo_1	Formalny
1	с точки зрения	3	14
2	не может быть	2	14
3	на самом деле	1	12
4	в то же	8	7
5	то же время	8	7
6	во всяком случае	1	6
7	и т д	3	6
8	и т п	8	5
9	в самом деле	4	4
10	в связи с	3	4
11	в данном случае	1	4
12	в том что	6	3
13	то же самое	1	3
14	по отношению к	8	3
15	в этом отношении	3	3
16	потому что он	1	3
17	в этом смысле	1	2
18	так и в	1	2
19	о том как	2	2
20	в следующей главе	3	2
21	и в то	1	2
22	формы и содержания	1	2
23	до известной степени	1	2
24	в конце концов	1	2
25	же как мы	1	2
26	к тому что	4	2
27	может быть только	1	2
28	не только не	1	2
29	на самом же	1	2
30	сами по себе	1	2
31	так и от	2	2
32	уже знаем что	1	2
33	самом же деле	1	2
34	в высшей степени	1	2
35	как и все	1	2
36	мы уже знаем	2	2
37	в отличие от	1	2
38	тем не менее	3	2
39	о том что	9	1
40	с одной стороны	1	1
41	с самого начала	1	1
42	так или иначе	2	1
43	занимает место в	1	1
44	в одной из	1	1
45	ориентации человека в	2	1
46	ее осуществления в	1	1
47	жизни в то	1	1
48	можно говорить об	1	1
49	в это время	1	1
50	как по отношению	1	1
51	при этом не	1	1
52	друг друга и	1	1
53	связано с тем	1	1
54	как и в	3	1
55	не потому что	1	1
56	не сводится к	1	1
57	именно в этом	1	1
58	до сих пор	2	1
59	в таком случае	1	1
60	и тех же	1	1
61	в данное время	1	1
62	в предыдущей главе	3	1
63	не два а	1	1
64	же время не	1	1
65	здесь не в	1	1
66	с тем что	1	1
67	как впрочем и	1	1
68	этой точки зрения	1	1
69	того или иного	2	1
70	можно было бы	4	1
71	и что в	1	1
72	себе и своей	1	1
73	форма но в	1	1
74	на то что	2	1
75	одних и тех	1	1
76	в значительной степени	2	1
77	не только в	2	1
78	в русскую литературу	1	1
79	и в самом	3	1
80	с этой точки	1	1
81	и быть не	1	1
82	она не может	1	1
83	только один из	1	1
84	но все же	1	1
85	в чистом виде	1	1
86	но при этом	1	1
87	друг с другом	1	1
88	входит в жизнь	1	1
89	и по отношению	1	1
90	объясняется тем что	1	1
91	не в том	2	1
92	так и по	1	1
93	в такой же	2	1
94	что же касается	2	1
95	же и только	1	1
96	ту или иную	2	1
97	не только на	1	1
98	к тому чтобы	1	1
99	дело здесь не	1	1
100	того чтобы создать	1	1
