N	4gram	Savitsky_E_1	Myshleni
1	заключается в том что	2	13
2	один и тот же	1	7
3	одного и того же	1	5
4	с этой точки зрения	5	4
5	так же как и	3	4
6	с одной стороны и	6	2
7	в том числе и	1	2
8	к тому или иному	1	2
9	одна и та же	1	1
10	мы можем сказать что	1	1
11	одну и ту же	1	1
12	но само по себе	1	1
13	о котором мы говорили	1	1
14	как это мы видим	1	1
15	на то что в	1	1
16	в том смысле что	1	1
17	бы то ни было	4	1
18	в том случае если	1	1
19	само по себе не	2	1
20	не говоря уже о	1	1
21	не заключает в себе	1	1
22	в то время как	1	1
23	и во многих других	1	1
24	и только в качестве	1	1
