N	4gram	Vygotskiy__7	Stilisti
1	одно и то же	3	4
2	в то же самое	1	2
3	то же самое время	1	2
4	одной и той же	2	2
5	не что иное как	1	2
6	все больше и больше	2	2
7	и то же слово	1	2
8	но для того чтобы	1	2
9	есть не что иное	1	2
10	речи но все же	1	1
11	внутренней и внешней речи	1	1
12	одном и том же	1	1
13	одну и ту же	1	1
14	и не может быть	1	1
15	нет и не может	1	1
16	не связанных между собой	1	1
17	остается тем же самым	1	1
18	в той же мере	2	1
19	в одной и той	1	1
20	то же самое происходит	1	1
21	как мы увидим ниже	1	1
22	как мы видели не	1	1
23	одним и тем же	2	1
24	но вместе с тем	1	1
