N	4gram	Bakhtin_fo_1	Analitik
1	в то же время	6	2
2	имеет место слияние пространственных	1	1
3	одно и то же	3	1
4	пространственных и временных примет	1	1
5	во времени и пространстве	1	1
6	место слияние пространственных и	1	1
7	временных примет в осмысленном	1	1
8	одних и тех же	2	1
9	и временных примет в	1	1
10	слияние пространственных и временных	1	1
11	осмысленном и конкретном целом	1	1
12	в нашем случае в	1	1
13	примет в осмысленном и	1	1
14	в тех случаях когда	1	1
15	в осмысленном и конкретном	1	1
