N	4gram	Losev_Vlad_2	VeschiIm
1	не что иное как	1	8
2	в то же время	3	4
3	и в то же	1	3
4	заключается в том что	2	2
5	от всего прочего и	1	2
6	дело в том что	3	2
7	не может остановиться на	1	1
8	также и то что	1	1
9	что бы то ни	1	1
10	или по крайней мере	2	1
11	не имеет никакого отношения	1	1
12	заключается не в том	1	1
13	что несмотря на все	1	1
14	но в то же	1	1
15	в отрыве от всего	1	1
16	взятый сам по себе	1	1
17	содержит в себе в	1	1
18	смысла и больше ничего	1	1
19	то и в нем	1	1
20	в том что он	2	1
21	и тем не менее	1	1
22	имеет никакого отношения к	1	1
23	сказать даже больше того	1	1
24	в то время как	1	1
25	отрыве от всего прочего	1	1
