N	3gram	Nazirov_Tv_1	Marksizm
1	бы то ни	1	8
2	до сих пор	1	8
3	то ни было	1	8
4	в связи с	1	7
5	в настоящее время	1	6
6	и того же	1	5
7	в отличие от	1	5
8	одного и того	1	5
9	с другой стороны	1	5
10	с самого начала	3	4
11	в отношении к	1	4
12	в то же	13	3
13	можно сказать что	2	3
14	в том что	6	3
15	то же самое	1	3
16	то же время	12	3
17	в конце концов	1	3
18	каких бы то	1	3
19	не могут быть	1	2
20	но в то	4	2
21	по отношению к	1	2
22	а в этом	1	2
23	на самом же	1	2
24	но при этом	1	2
25	самом же деле	1	2
26	с установкой на	1	2
27	является одним из	2	2
28	тем не менее	2	2
29	в свою очередь	1	2
30	с одной стороны	1	1
31	как в своих	1	1
32	в одной из	2	1
33	и вот в	1	1
34	может быть понята	1	1
35	все это является	1	1
36	равно как и	1	1
37	таким образом и	1	1
38	вследствие этого в	1	1
39	хотя бы и	1	1
40	при этом она	1	1
41	не менее чем	1	1
42	к тому что	1	1
43	является как бы	1	1
44	и та же	2	1
45	и как бы	1	1
46	это значит что	1	1
47	этой проблемы в	1	1
48	что в каждом	1	1
49	на самом деле	2	1
50	не только в	2	1
51	все же и	1	1
52	сами по себе	1	1
53	и в самом	1	1
54	чуть ли не	1	1
55	друг для друга	1	1
56	так и от	1	1
57	по преимуществу в	1	1
58	внутренними и внешними	1	1
59	одна и та	1	1
60	в наше время	2	1
61	маркса и энгельса	1	1
62	в первой части	1	1
63	само собой разумеющимся	1	1
64	что же касается	1	1
65	ту или иную	1	1
66	более и более	1	1
67	все более и	1	1
68	это не значит	1	1
69	же деле этот	1	1
70	это вовсе не	1	1
