N	3gram	Nazirov_Vr_1	RusskieA
1	в том что	2	15
2	о том что	1	4
3	в связи с	3	4
4	с точки зрения	2	3
5	тем не менее	1	3
6	в это время	1	2
7	но это не	1	2
8	может быть и	1	2
9	в свою очередь	1	2
10	все же не	1	2
11	в е годы	1	2
12	в своем дневнике	1	1
13	точно так же	1	1
14	а следовательно и	1	1
15	и в этом	1	1
16	подтверждается тем что	1	1
17	но и как	1	1
18	на то что	1	1
19	он считал что	3	1
20	так же как	1	1
21	независимо от того	1	1
22	в то время	1	1
23	во всяком случае	1	1
24	в этом отношении	1	1
25	о том же	1	1
26	между тем это	1	1
27	у себя на	1	1
28	можно говорить об	1	1
29	на первое место	1	1
30	не только как	1	1
