N	4gram	Losev_Dial_1	VLabPisa
1	в то же время	4	5
2	и в то же	2	3
3	с одной стороны и	2	2
4	уже по одному тому	1	2
5	по одному тому что	1	2
6	в этом и заключается	1	2
7	до сих пор не	1	1
8	и есть то что	1	1
9	это и значит что	1	1
10	не имеет ничего общего	3	1
11	значит ли это что	2	1
12	с другой стороны в	1	1
13	и т д но	2	1
14	но в то же	1	1
15	в то время как	1	1
16	это значит только то	1	1
17	одно и то же	4	1
18	а в том что	1	1
19	имеет ничего общего с	3	1
20	том или ином отношении	1	1
21	ни в какой мере	1	1
22	никогда не может быть	1	1
23	как один из видов	2	1
24	значит только то что	1	1
25	в какой мере не	1	1
