N	3gram	Nazirov_Vr_1	VeschiIm
1	не может быть	2	18
2	по крайней мере	1	6
3	в том что	2	6
4	на то что	1	6
5	одно и то	1	5
6	и то же	1	5
7	в свою очередь	1	5
8	тем не менее	1	5
9	с точки зрения	2	4
10	и то что	1	4
11	то же время	4	4
12	в то же	4	4
13	и в то	1	3
14	все же не	1	3
15	о том как	1	2
16	что в ней	1	2
17	заключается в том	1	2
18	общего ни с	1	1
19	имеется в виду	1	1
20	то что я	1	1
21	между прочим и	1	1
22	далеко не все	1	1
23	в этом смысле	1	1
24	быть и речи	1	1
25	на первый план	1	1
26	до сих пор	1	1
27	и не может	1	1
28	еще не знали	1	1
29	в той же	1	1
30	он и не	1	1
31	не знали что	1	1
32	ничего общего ни	1	1
33	может быть и	1	1
34	как раз в	2	1
35	так же как	1	1
36	но в то	2	1
37	в конце концов	1	1
38	и в этом	1	1
39	ее и в	1	1
40	или по крайней	1	1
41	этого действительно можно	1	1
42	– одна из	1	1
43	с другой стороны	1	1
44	речь идет о	1	1
45	что они не	1	1
46	и все же	5	1
47	во всяком случае	1	1
48	в то время	1	1
49	это и есть	1	1
50	о том что	1	1
51	не только не	1	1
52	и что он	1	1
