N	3gram	Nazirov_Vr_1	slovoVRo
1	в то же	4	12
2	то же время	4	12
3	с точки зрения	2	8
4	во всяком случае	1	5
5	и в то	1	5
6	но в то	2	4
7	с другой стороны	1	4
8	они как бы	1	2
9	в известном смысле	1	2
10	до сих пор	1	2
11	а между тем	1	2
12	и в этом	1	2
13	и не может	1	2
14	и то же	1	2
15	в то время	1	2
16	о том же	1	2
17	в свою очередь	1	2
18	одно и то	1	2
19	о том что	1	1
20	же не только	1	1
21	в нем самом	1	1
22	же время и	1	1
23	а следовательно и	1	1
24	да и в	1	1
25	равно как и	1	1
26	может быть и	1	1
27	как и у	3	1
28	героев романа в	1	1
29	в том что	2	1
30	не может быть	2	1
31	с помощью которых	1	1
32	в в виноградов	2	1
33	но в этом	1	1
34	не только не	1	1
35	что для нас	1	1
36	в этом отношении	1	1
37	в каком направлении	1	1
38	между тем это	1	1
39	же время по	1	1
40	отцы и дети	2	1
41	в литературе и	1	1
42	но это не	1	1
43	у тургенева и	1	1
44	в письмах и	1	1
45	тем не менее	1	1
46	что они не	1	1
47	его отношение к	1	1
48	отношение автора к	1	1
49	по крайней мере	1	1
