N	4gram	Tiupa_Hudo_1	VLabPisa
1	в то же время	5	5
2	и в то же	1	3
3	в том числе и	1	2
4	в том отношении что	1	2
5	одном и том же	1	2
6	духовной жизни личности и	1	1
7	следует иметь в виду	1	1
8	в том или ином	1	1
9	есть в конечном счете	1	1
10	не может быть и	1	1
11	и по отношению к	1	1
12	мы имеем дело с	1	1
13	имеем в виду не	3	1
14	одно и то же	3	1
15	в той или иной	2	1
16	с этой точки зрения	1	1
17	приводит к тому что	2	1
18	в одном и том	1	1
19	том или ином отношении	1	1
20	как это происходит в	1	1
21	той или иной мере	1	1
22	как один из видов	1	1
23	не следует смешивать с	3	1
