N	4gram	Vinokur_Vv_1	KulturaY
1	той мере в какой	4	5
2	в той мере в	4	5
3	состоит в том что	2	3
4	в то же время	5	2
5	и в самом деле	3	2
6	для того чтобы быть	1	2
7	заключается в том что	2	2
8	и т д и	1	2
9	только в том чтобы	1	2
10	одного и того же	2	2
11	уже само по себе	1	1
12	том-то и дело что	1	1
13	по отношению к собственно	1	1
14	мы имеем в виду	1	1
15	одно и то же	1	1
16	в том-то и дело	1	1
17	с этой точки зрения	1	1
18	ответить на этот вопрос	1	1
19	его грамматическую систему и	1	1
20	в собственном смысле слова	1	1
21	но в том-то и	1	1
22	сводится лишь к тому	1	1
23	но во всяком случае	1	1
24	если можно говорить о	1	1
25	на почву культурной истории	1	1
26	точно так же как	1	1
27	даже и тогда когда	1	1
28	вовсе не в том	1	1
29	можно было бы назвать	1	1
30	и т д словом	1	1
31	видеть что это есть	1	1
32	хотя бы и не	1	1
33	в тех или иных	1	1
34	широком смысле этого термина	1	1
35	что история языка в	1	1
36	история литературы история искусств	1	1
37	и не потому что	1	1
38	в том чтобы выяснить	1	1
39	только в применении к	2	1
40	т д все это	1	1
41	того чтобы можно было	1	1
42	но дело не в	1	1
43	лингвисту во всяком случае	1	1
44	но с другой стороны	1	1
45	не что иное как	4	1
46	для того чтобы можно	1	1
47	в том что не	1	1
48	трудно видеть что это	1	1
49	и т д все	2	1
50	не трудно видеть что	5	1
