N	3gram	Bakhtin_Pr_2	RusskieA
1	в том что	1	15
2	и т д	4	9
3	как мы увидим	3	5
4	о том что	1	4
5	и в других	1	4
6	в связи с	1	4
7	в настоящее время	2	3
8	с точки зрения	8	3
9	тем не менее	2	3
10	в большинстве случаев	8	2
11	для наших целей	1	2
12	но и на	1	2
13	но тем не	1	2
14	может быть и	2	2
15	друг к другу	2	2
16	в равной степени	1	2
17	но все же	2	2
18	все же не	1	2
19	после того как	1	2
20	в таком случае	1	1
21	в одном из	1	1
22	в собственном смысле	1	1
23	этого слова с	1	1
24	друг с другом	4	1
25	мы увидим что	1	1
26	а следовательно и	1	1
27	при этом не	1	1
28	как и в	3	1
29	и в том	1	1
30	можно сказать что	1	1
31	его жизнь в	1	1
32	ни в одном	2	1
33	у него нет	1	1
34	т е в	1	1
35	как мы знаем	1	1
36	и т п	9	1
37	на то что	2	1
38	иметь в виду	1	1
39	проблем не может	1	1
40	никак не может	3	1
41	и та же	2	1
42	в то время	2	1
43	можно было бы	3	1
44	на самом деле	1	1
45	по отношению к	5	1
46	в отличие от	4	1
47	ничего общего не	1	1
48	как мы уже	1	1
49	во всяком случае	1	1
50	как мы видим	1	1
51	о том же	2	1
52	в этих случаях	2	1
53	по привычке по	1	1
54	в виду что	1	1
55	же как и	1	1
56	одна и та	2	1
57	в себе и	1	1
58	и наконец в	1	1
59	на этот вопрос	2	1
60	к другому и	1	1
61	но здесь он	1	1
62	хотя и не	2	1
