N	3gram	Propp_Russ_2	Komedia
1	на себя внимание	1	5
2	в том что	18	5
3	о том что	4	4
4	для того чтобы	6	4
5	вместе с тем	4	4
6	в первую очередь	1	3
7	в то время	2	3
8	с одной стороны	2	2
9	к этому времени	1	2
10	в это время	1	2
11	можно было бы	1	2
12	нельзя отрицать что	1	2
13	то время как	1	2
14	после того как	2	2
15	в отличие от	3	2
16	во всяком случае	1	2
17	в том же	1	1
18	одна из них	1	1
19	по своему происхождению	1	1
20	тех случаях когда	1	1
21	всех других случаях	1	1
22	это имело место	1	1
23	и в том	1	1
24	к выводу что	1	1
25	с другой стороны	1	1
26	а может быть	1	1
27	чем говорилось выше	1	1
28	и в первую	1	1
29	тем более что	1	1
30	в самом буквальном	1	1
31	в этой же	1	1
32	самом буквальном смысле	1	1
33	в дом и	1	1
34	и более поздние	1	1
35	как это имело	1	1
36	в этой связи	1	1
37	более или менее	1	1
38	ироническое отношение к	1	1
39	для этой цели	2	1
40	как мы видели	1	1
41	в тех случаях	1	1
42	то что в	1	1
43	но и в	1	1
44	во всех других	1	1
45	потому что в	1	1
46	а вместе с	1	1
47	как например в	1	1
48	состоял в том	1	1
49	тем не менее	2	1
50	в свою очередь	1	1
51	о чем говорилось	1	1
52	не может быть	3	1
