N	4gram	Losev_Vlad_2	Dialekti
1	в то же время	3	4
2	и в то же	1	2
3	или по крайней мере	2	2
4	ни тем более о	1	1
5	до сих пор не	1	1
6	что же это за	1	1
7	не нуждаясь ни в	1	1
8	в то время как	1	1
9	нуждаясь ни в каких	1	1
10	вплоть до последних дней	1	1
11	как это мы находим	1	1
12	не имеет никакого отношения	1	1
13	по крайней мере в	1	1
14	само по себе не	1	1
15	все больше и больше	1	1
16	и тем не менее	1	1
17	в связи с этим	1	1
18	но в то же	1	1
19	дело в том что	3	1
20	не что иное как	1	1
21	отчет в том что	1	1
22	имеет никакого отношения к	1	1
