N	3gram	Nazirov_Tr_1	UchenyiS
1	не может быть	1	4
2	в то же	5	3
3	то же время	5	3
4	по нашему мнению	1	3
5	и то что	1	2
6	не могут быть	1	2
7	и в частности	2	2
8	в самом деле	1	2
9	в конце концов	1	2
10	хотя бы и	1	2
11	еще ничего не	1	2
12	в том что	2	2
13	а между тем	1	2
14	может быть в	1	1
15	и не случайно	2	1
16	она все же	1	1
17	ничего не значит	1	1
18	но в то	2	1
19	должно быть по	1	1
20	все же не	1	1
21	в той же	1	1
22	в этом случае	1	1
23	в данном случае	2	1
24	сам по себе	1	1
25	не только к	1	1
