N	3gram	Nazirov_Tv_2	Dialekti
1	и т д	11	15
2	в том что	2	9
3	по крайней мере	2	7
4	в то же	7	6
5	то же время	7	6
6	не может быть	3	6
7	это и есть	1	4
8	ничего не говорит	1	4
9	и в этом	1	3
10	то или иное	1	3
11	т д и	1	3
12	в чем же	1	2
13	д и т	1	2
14	о том как	1	2
15	точно так же	1	2
16	т д все	1	2
17	и в то	2	2
18	но в то	1	2
19	и нет ничего	1	2
20	еще ничего не	1	2
21	ничего общего с	1	2
22	в свою очередь	1	2
23	может быть в	1	1
24	о том что	2	1
25	что он сам	1	1
26	т д в	1	1
27	которое тут же	1	1
28	мы видим в	1	1
29	в романе достоевского	5	1
30	поступков и событий	1	1
31	в этот день	1	1
32	по себе не	1	1
33	именно в этот	1	1
34	именно в этом	2	1
35	дело в том	1	1
36	и прежде всего	1	1
37	может и не	1	1
38	имеет в виду	1	1
39	в чем не	1	1
40	и не может	2	1
41	же как и	1	1
42	можно говорить лишь	1	1
43	с одной из	1	1
44	в отличие от	2	1
45	не в силах	2	1
46	только потому что	1	1
47	не значит что	1	1
48	ни в чем	1	1
49	но это не	1	1
50	нужно сказать что	1	1
51	в связи с	1	1
52	содержит в себе	1	1
53	и мы не	1	1
54	у достоевского в	3	1
55	вдруг все это	1	1
56	в виду что	1	1
57	в нем нет	1	1
58	с другой стороны	2	1
59	той или иной	1	1
60	не похоже на	1	1
61	он еще не	2	1
62	д все это	1	1
63	но прежде всего	2	1
