N	3gram	Nazirov_Vr_1	Psycholo
1	на то что	1	16
2	в том что	2	14
3	о том что	1	6
4	заключается в том	1	6
5	до сих пор	1	5
6	с другой стороны	1	5
7	а с другой	1	4
8	не только не	1	4
9	и то что	1	3
10	одно и то	1	3
11	и что в	2	3
12	и то же	1	3
13	в этом отношении	1	3
14	может быть и	1	2
15	с точки зрения	2	2
16	на первый план	1	2
17	так же как	1	2
18	в конце концов	1	2
19	не может быть	2	2
20	и в самом	1	2
21	как бы в	1	2
22	что в начале	2	1
23	равно как и	1	1
24	в этом смысле	1	1
25	и в этом	1	1
26	знали что он	1	1
27	нет ничего общего	1	1
28	что в нем	1	1
29	по крайней мере	1	1
30	и что он	1	1
31	все равно не	1	1
32	едва ли не	1	1
33	все же не	1	1
34	что у него	1	1
35	шаг за шагом	1	1
36	что в этой	1	1
37	в то время	1	1
38	ли не самым	1	1
39	в свою очередь	1	1
40	речь идет о	1	1
41	чтобы разобраться в	1	1
42	и о которой	1	1
43	в ответ на	1	1
44	тем что он	1	1
45	и все же	5	1
46	в письме к	2	1
47	они как бы	1	1
48	в русской литературе	3	1
49	он как бы	1	1
