N	4gram	Propp_Isto_7	RusskieA
1	состоит в том что	1	8
2	но тем не менее	2	2
3	выводы можно сделать из	1	2
4	вместе с тем и	1	2
5	все же она не	1	1
6	и у других народов	1	1
7	говорит о том что	1	1
8	один из самых распространенных	1	1
9	и т д и	1	1
10	это не совсем так	1	1
11	и т д т	1	1
12	как мы уже знаем	1	1
13	в тех случаях когда	3	1
14	ниже мы увидим что	1	1
15	точно так же в	1	1
16	но все же она	1	1
17	одна и та же	1	1
18	не только у греков	1	1
19	т д т е	1	1
20	так же как и	1	1
21	как мы увидим ниже	1	1
22	а не кто-нибудь другой	1	1
